code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,total
600099,林海股份,0.566,10.66,10.58,10.68,10.51,10.6,726100,0.33137,232267.2
300029,天龙光电,0.495,12.19,11.89,12.4,11.89,12.13,1338100,0.69168,242600.0
002057,中钢天源,0.568,12.4,12.34,12.42,12.22,12.33,673350,0.33772,245837.59911
002193,山东如意,0.455,15.44,15.36,15.49,15.2,15.37,668000,0.41763,245920.0
600213,亚星客车,0.618,11.4,11.33,11.5,11.21,11.33,735367,0.33426,249260.0
300268,万福生科,-0.696,18.56,18.18,18.62,18.12,18.69,755600,0.56388,250446.0
300372,欣泰电气,-3.808,14.65,14.8,14.8,14.5,15.23,2606407,2.88423,261281.643014
002205,国统股份,0.044,22.51,22.55,22.6,22.4,22.5,412834,0.35543,261342.0405
002205,国统股份,0.222,22.55,22.55,22.6,22.4,22.5,404934,0.34862,261342.0405
600455,博通股份,0.836,42.22,41.89,42.47,41.87,41.87,71000,0.14281,261511.646
002627,宜昌交运,0.496,20.27,20.17,20.3,20.01,20.17,81200,0.06213,269269.5
002627,宜昌交运,0.496,20.27,20.17,20.3,20.01,20.17,82700,0.06328,269269.5
300174,元力股份,1.0,20.2,20.0,20.3,19.81,20.0,378003,0.52497,272000.0
000856,冀东装备,0.333,12.05,12.04,12.09,11.98,12.01,584500,0.25749,272627.0
600719,大连热电,0.445,6.77,6.66,6.82,6.65,6.74,1597800,0.39491,272700.1304
600719,大连热电,0.742,6.79,6.66,6.82,6.65,6.74,1645658,0.40674,272700.1304
300176,鸿特精密,0.783,25.75,25.5,25.87,25.0,25.55,437000,0.40735,274100.4
300321,同大股份,-0.016,61.9,61.3,62.19,61.0,61.91,135549,0.30529,274880.4
000711,京蓝科技,0.468,17.19,17.07,17.24,17.02,17.11,544850,0.33863,275297.1624
000803,金宇车城,1.617,22.0,21.55,22.29,21.55,21.65,267091,0.2734,276537.383345
300035,中科电气,0.422,11.91,11.89,11.97,11.77,11.86,583950,0.31739,277350.5475
300092,科新机电,-0.818,12.12,12.39,12.66,12.01,12.22,3353813,2.21958,278005.0
600746,江苏索普,0.881,9.16,9.09,9.2,9.07,9.08,597313,0.19606,278230.678416
600985,雷鸣科化,0.47,10.68,10.67,10.7,10.62,10.63,407404,0.15499,279414.592872
600593,大连圣亚,0.756,30.65,30.38,30.8,30.11,30.42,189300,0.20576,279864.0
300218,安利股份,0.697,13.01,12.82,13.03,12.82,12.92,406500,0.24796,280347.204
000004,国农科技,0.06,33.5,33.35,33.55,33.1,33.48,239700,0.28578,281153.938032
300062,中能电气,0.875,18.44,18.13,18.48,18.13,18.28,362450,0.45804,281512.0
600367,红星发展,0.31,9.71,9.65,9.75,9.59,9.68,285800,0.09815,281881.6
600385,山东金泰,0.942,19.29,19.12,19.34,19.07,19.11,428900,0.30041,283032.759828
