,name,price,unknown,total_value,changepercent,total
300029,天龙光电,11.17,,22.34,-0.27,223400.0
002193,山东如意,14.83,,23.73,-0.13,237280.0
600099,林海股份,10.87,,23.82,1.4,238183.43999999997
300092,科新机电,10.57,,24.05,0.19,240467.5
300344,太空板业,10.03,,24.2,0.5,241971.74399999998
002205,国统股份,21.27,,24.71,0.42,247055.342286
600213,亚星客车,11.3,,24.86,-1.82,248600.00000000003
000929,兰州黄河,13.56,,25.19,0.67,251898.696
002627,宜昌交运,19.12,,25.53,0.79,255252.0
300120,经纬电材,12.5,,25.6,-0.32,256020.07374999998
600444,国机通用,17.5,,25.62,-0.91,256238.381
300330,华虹计通,15.31,,25.91,1.93,259087.76179999998
600985,雷鸣科化,9.94,,26.13,-0.5,261277.61553599997
300268,万福生科,19.52,,26.16,2.25,261568.0
000785,武汉中商,10.5,,26.38,-0.28,263782.7829
300106,西部牧业,12.51,,26.44,-0.95,264376.71981
600448,华纺股份,6.3,,26.61,0.0,266089.38363
600731,湖南海利,8.13,,26.61,-1.33,266106.36167400004
600746,江苏索普,8.73,,26.75,-0.46,267505.927596
600719,大连热电,6.65,,26.91,-0.6,269058.734
000803,金宇车城,21.13,,26.99,2.08,269895.376909
600302,标准股份,7.8,,26.99,-0.76,269887.64712
600561,江西长运,11.42,,27.07,-0.87,270727.088
600152,维科精华,9.28,,27.24,-1.38,272362.61759999994
600148,长春一东,19.29,,27.3,-0.72,272985.23205
600853,龙建股份,5.09,,27.32,-0.2,273235.097922
300321,同大股份,61.68,,27.39,0.21,273859.2
600605,汇通能源,18.6,,27.41,0.11,274060.94112000003
600137,浪莎股份,28.33,,27.54,-0.91,275417.426804
000711,京蓝科技,17.16,,27.61,-0.92,276101.6544
000692,惠天热电,5.24,,27.92,0.0,279204.479424
000985,大庆华科,21.64,,28.05,-0.64,280539.878
300200,高盟新材,13.16,,28.11,0.38,281097.6
600992,贵绳股份,11.5,,28.19,-1.12,281853.5
600796,钱江生化,9.38,,28.27,-1.47,282715.21107200003
600778,友好集团,9.13,,28.44,-2.04,284391.604376
300192,科斯伍德,11.73,,28.45,0.34,284511.15
600051,宁波联合,9.17,,28.51,-0.11,285076.96
002057,中钢天源,14.3,,28.51,-3.96,285115.7881
600593,大连圣亚,31.1,,28.61,2.95,286120.0
002040,南 京 港,11.66,,28.67,0.87,286686.75200000004
002150,通润装备,11.47,,28.7,-0.95,286979.4
300214,日科化学,7.1,,28.75,0.42,287550.0
600281,太化股份,5.6,,28.81,-0.71,288065.13399999996
000713,丰乐种业,9.65,,28.84,-1.33,288415.30912
000737,南风化工,5.26,,28.86,1.74,288647.76
000153,丰原药业,9.27,,28.94,-0.22,289354.92021
002696,百洋股份,16.46,,28.97,-2.43,289696.0
300260,新莱应材,29.02,,29.03,-0.96,290345.1
300405,科隆精化,42.73,,29.06,-4.19,290564.0
000668,荣丰控股,19.97,,29.32,0.1,293243.25432999997
600774,汉商集团,16.8,,29.33,-0.71,293286.64848000003
600714,金瑞矿业,10.18,,29.34,-4.23,293363.445914
300174,元力股份,21.62,,29.4,1.08,294032.0
600513,联环药业,17.41,,29.41,0.4,294070.62993500003
600706,曲江文旅,16.39,,29.42,0.43,294216.357325
002365,永安药业,15.73,,29.42,0.13,294151.0
300164,通源石油,7.27,,29.45,-0.14,294504.150059
002136,安 纳 达,13.7,,29.46,-1.58,294577.39999999997
300354,东华测试,21.29,,29.46,-1.44,294590.157929
600802,福建水泥,7.72,,29.48,0.13,294806.470152
600241,时代万恒,13.04,,29.5,0.69,294954.51795999997
600128,弘业股份,11.99,,29.59,0.17,295874.2325
300387,富邦股份,23.84,,29.72,-1.08,297237.12
600727,鲁北化工,8.47,,29.73,0.12,297285.656129
600356,恒丰纸业,9.98,,29.81,0.3,298133.91524400003
000993,闽东电力,8.0,,29.84,1.01,298400.0
300275,梅安森,17.81,,29.84,-0.39,298381.616
600781,辅仁药业,16.85,,29.92,-0.24,299243.97584
300417,南华仪器,36.8,,30.03,-1.31,300288.0
603088,宁波精达,37.63,,30.1,-1.21,301040.0
600791,京能置业,6.66,,30.16,2.62,301618.08
002715,登云股份,32.82,,30.19,1.93,301944.0
002319,乐通股份,15.1,,30.2,-2.08,302000.0
300227,光韵达,21.7,,30.2,1.12,301955.5
002435,长江润发,15.27,,30.23,0.53,302346.0
300371,汇中股份,25.2,,30.24,0.08,302400.0
002058,威 尔 泰,21.11,,30.28,1.39,302819.428852
002159,三特索道,21.84,,30.28,0.14,302847.99854400003
002679,福建金森,21.85,,30.3,1.25,303015.80000000005
600505,西昌电力,8.31,,30.3,0.12,302955.5925
300492,山鼎设计,36.43,,30.31,1.65,303097.6
300281,金明精机,12.45,,30.43,0.4,304259.44576499995
300313,天山生物,15.23,,30.47,-1.61,304725.361176
