date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,16.2,16.5,16.0,15.83,156700.44,-0.1,-0.62,15.766,15.947,15.799,166640.11,197287.77,202667.66,2.01
2016-02-04,15.77,16.47,16.1,15.77,173753.03,0.3,1.9,15.658,16.047,15.823,173662.44,203200.31,205614.06,2.23
2016-02-03,15.6,16.02,15.78,15.3,139206.12,-0.1,-0.63,15.49,16.015,15.842,180012.32,205042.02,198873.06,1.79
2016-02-02,15.15,16.36,15.9,15.14,218096.64,0.87,5.79,15.722,16.133,15.968,214543.66,220430.53,197854.28,2.8
2016-02-01,15.47,15.71,15.05,14.55,145444.31,-0.42,-2.71,15.666,16.236,16.075,219035.41,226364.79,196220.3,1.87
2016-01-29,14.95,15.93,15.46,14.43,191812.11,0.2,1.31,16.128,16.32,16.231,227935.43,232052.23,194922.75,2.47
2016-01-28,16.38,16.73,15.26,15.26,205502.41,-1.7,-10.02,16.436,16.309,16.44,232738.17,242795.28,189977.28,2.64
2016-01-27,15.58,17.18,16.94,14.2,311862.84,1.32,8.45,16.54,16.294,16.685,230071.71,238790.75,186626.63,4.01
2016-01-26,16.56,17.07,15.62,15.62,240555.36,-1.73,-9.97,16.544,15.98,16.818,226317.4,219608.21,174687.66,3.09
2016-01-25,17.0,17.67,17.36,16.85,189944.45,0.36,2.12,16.806,15.903,17.0,233694.17,207828.44,167435.41,2.44
2016-01-22,15.99,17.3,17.0,15.6,215825.8,1.21,7.66,16.512,15.65,17.121,236169.02,208047.55,161765.01,2.77
2016-01-21,16.7,17.27,15.78,15.68,192170.12,-1.19,-7.01,16.182,15.598,17.26,252852.38,208027.81,157801.75,2.47
2016-01-20,16.6,17.59,16.96,16.5,293091.25,0.05,0.3,16.048,15.668,17.488,247509.78,192704.1,154552.41,3.77
2016-01-19,15.7,17.42,16.93,15.25,277439.22,1.09,6.88,15.416,15.802,17.68,212899.03,175278.02,146525.17,3.57
2016-01-18,14.86,16.1,15.89,14.8,202318.7,0.53,3.45,15.0,15.913,17.861,181962.72,166075.81,139495.19,2.6
2016-01-15,15.27,16.1,15.35,14.99,299242.62,0.24,1.59,14.788,16.142,18.083,179926.09,157793.27,134699.7,3.85
2016-01-14,13.49,15.11,15.11,13.34,165457.12,1.37,9.97,15.014,16.57,18.34,163203.24,137159.28,127363.68,2.13
