,stocks_num,value
0,3,17.9199252794
1,4,22.2297256149
2,5,20.5870555404
3,6,18.9631666754
4,7,19.4694279015
5,8,17.2409209279
6,9,17.9779404116
7,10,15.0512589395
8,11,14.6534766806
9,12,14.7528995802
10,13,14.6390273173
11,14,12.5726037907
12,15,13.0575722339
13,16,13.3144686595
14,17,12.6229648911
15,18,13.4216493189
16,19,13.0094502711
17,20,12.3237157964
18,21,11.9890844687
19,22,11.8758962989
20,23,11.7443661322
21,24,11.8889196421
22,25,11.589789811
23,26,11.2205715521
24,27,11.1487972996
25,28,11.3540945003
26,29,11.4213315585
