,STflg,tradeDate
0,*ST,2010-04-19
1,*ST,2010-04-20
2,*ST,2010-04-21
3,*ST,2010-04-22
4,*ST,2010-04-23
5,*ST,2010-04-26
6,*ST,2010-04-27
7,*ST,2010-04-28
8,*ST,2010-04-29
9,*ST,2010-04-30
10,*ST,2010-05-04
11,*ST,2010-05-05
12,*ST,2010-05-06
13,*ST,2010-05-07
14,*ST,2010-05-10
15,*ST,2010-05-11
16,*ST,2010-05-12
17,*ST,2010-05-13
18,*ST,2010-05-14
19,*ST,2010-05-17
20,*ST,2010-05-18
21,*ST,2010-05-19
22,*ST,2010-05-20
23,*ST,2010-05-21
24,*ST,2010-05-24
25,*ST,2010-05-25
26,*ST,2010-05-26
27,*ST,2010-05-27
28,*ST,2010-05-28
29,*ST,2010-05-31
30,*ST,2010-06-01
31,*ST,2010-06-02
32,*ST,2010-06-03
33,*ST,2010-06-04
34,*ST,2010-06-07
35,*ST,2010-06-08
36,*ST,2010-06-09
37,*ST,2010-06-10
38,*ST,2010-06-11
39,*ST,2010-06-17
40,*ST,2010-06-18
41,*ST,2010-06-21
42,*ST,2010-06-22
43,*ST,2010-06-23
44,*ST,2010-06-24
45,*ST,2010-06-25
46,*ST,2010-06-28
47,*ST,2010-06-29
48,*ST,2010-06-30
49,*ST,2010-07-01
50,*ST,2010-07-02
51,*ST,2010-07-05
52,*ST,2010-07-06
53,*ST,2010-07-07
54,*ST,2010-07-08
55,*ST,2010-07-09
56,*ST,2010-07-12
57,*ST,2010-07-13
58,*ST,2010-07-14
59,*ST,2010-07-15
60,*ST,2010-07-16
61,*ST,2010-07-19
62,*ST,2010-07-20
63,*ST,2010-07-21
64,*ST,2010-07-22
65,*ST,2010-07-23
66,*ST,2010-07-26
67,*ST,2010-07-27
68,*ST,2010-07-28
69,*ST,2010-07-29
70,*ST,2010-07-30
71,*ST,2010-08-02
72,*ST,2010-08-03
73,*ST,2010-08-04
74,*ST,2010-08-05
75,*ST,2010-08-06
76,*ST,2010-08-09
77,*ST,2010-08-10
78,*ST,2010-08-11
79,*ST,2010-08-12
80,*ST,2010-08-13
81,*ST,2010-08-16
82,*ST,2010-08-17
83,*ST,2010-08-18
84,*ST,2010-08-19
85,*ST,2010-08-20
86,*ST,2010-08-23
87,*ST,2010-08-24
88,*ST,2010-08-25
89,*ST,2010-08-26
90,*ST,2010-08-27
91,*ST,2010-08-30
92,*ST,2010-08-31
93,*ST,2010-09-01
94,*ST,2010-09-02
95,*ST,2010-09-03
96,*ST,2010-09-06
97,*ST,2010-09-07
98,*ST,2010-09-08
99,*ST,2010-09-09
100,*ST,2010-09-10
101,*ST,2010-09-13
102,*ST,2010-09-14
103,*ST,2010-09-15
104,*ST,2010-09-16
105,*ST,2010-09-17
106,*ST,2010-09-20
107,*ST,2010-09-21
108,*ST,2010-09-27
109,*ST,2010-09-28
