,stocks_num,value
0,1,2.30287102122
1,2,5.51319211363
2,3,12.4613322541
3,4,15.7685561075
4,5,16.5415894293
5,6,16.194476195
6,7,18.6630474944
7,8,18.1501663636
8,9,13.7335156976
9,10,15.5838724456
10,11,16.0273211142
11,12,18.2120122912
12,13,15.6289158757
13,14,14.2323315303
14,15,15.2150292899
15,16,14.9857020132
16,17,15.7058045036
17,18,14.7899578073
18,19,13.5186674569
19,20,14.5734496089
20,21,14.018978315
21,22,13.7905652062
22,23,13.7883905046
23,24,15.0986597812
24,25,14.4444532216
25,26,15.2916555511
26,27,15.5989188751
27,28,15.2838908477
28,29,14.6740407677
29,30,14.924518359
30,31,14.9867519233
31,32,15.0902892611
32,33,15.0244250582
33,34,14.329456278
34,35,13.8815363966
35,36,13.9220013353
36,37,13.9942492202
37,38,13.6259572285
38,39,13.3135460887
39,40,13.0610745898
40,41,13.4608350691
41,42,13.2745573417
42,43,13.4895308136
43,44,12.7523961919
44,45,12.795929788
45,46,12.7506931954
46,47,12.9599511431
47,48,12.7376988101
48,49,12.5598987772
